x;heatflux
1.648;-23975.5
1.65;-23994.9
1.652;-24004.6
1.654;-23987.9
1.656;-23962
1.658;-23943
1.66;-23946.8
1.662;-23962.6
1.664;-23940.9
1.666;-23907.8
1.668;-23871.1
1.67;-23831.5
1.672;-23840
1.674;-23861.1
1.676;-23856.4
1.678;-23814.7
1.68;-23759.9
1.682;-23767.4
1.684;-23795
1.686;-23794.2
1.688;-23750.4
1.69;-23691.6
1.692;-23693.6
1.694;-23713.4
1.696;-23696.7
1.698;-23673
1.7;-23661.4
1.702;-23644.9
1.704;-23618.2
1.706;-23583.1
1.708;-23606.1
1.71;-23667.1
1.712;-23639
1.714;-23566.7
1.716;-23527.6
1.718;-23506.7
1.72;-23490.4
1.722;-23481.2
1.724;-23475.6
1.726;-23464.5
1.728;-23450.6
1.73;-23440.3
1.732;-23424.4
1.734;-23401.8
1.736;-23383.5
1.738;-23366.4
1.74;-23347.6
1.742;-23322.9
1.744;-23287.9
1.746;-23319.7
1.748;-23394.8
1.75;-23354.9
1.752;-23262.1
1.754;-23221.5
1.756;-23206.3
1.758;-23199.2
1.76;-23183.6
1.762;-23162.3
1.764;-23159
1.766;-23140.1
1.768;-23089.5
1.77;-23128.2
1.772;-23220.2
1.774;-23151.3
1.776;-23021.9
1.778;-22999.1
1.78;-23022
1.782;-23035.8
1.784;-23029.1
1.786;-23044.1
1.788;-23071.9
1.79;-23031.1
1.792;-22969
1.794;-22945.6
1.796;-22936.5
1.798;-22929.4
1.8;-22915.6
1.802;-22914.7
1.804;-22898.2
1.806;-22860.8
1.808;-22837.2
1.81;-22857.1
1.812;-22800.6
1.814;-22812.6
1.816;-22977.5
1.818;-22816.9
1.82;-22563.9
1.822;-22466.4
1.824;-22829.6
1.826;-23361.4
1.828;-23577.9
1.83;-22862.3
1.832;-21700.8
1.834;-22106.7
1.836;-23089.9
1.838;-22965.4
1.84;-22532.1
1.842;-22681
1.844;-22842.2
1.846;-22693
1.848;-22570.9
1.85;-22526.7
1.852;-22590.5
1.854;-22598.6
1.856;-22452.5
1.858;-22611.8
1.86;-22882.6
1.862;-22734
1.864;-22525.6
1.866;-22519.6
1.868;-22550.1
1.87;-22559.7
1.872;-22531
1.874;-22564.9
1.876;-22561.6
1.878;-22477
1.88;-22499
1.882;-22550.5
1.884;-22499.6
1.886;-22452.7
1.888;-22456.5
1.89;-22456.7
1.892;-22461.6
1.894;-22469.8
1.896;-22458.9
1.898;-22413.2
1.9;-22365.4
1.902;-22365.9
1.904;-22392.3
1.906;-22409.9
1.908;-22407.5
1.91;-22379.5
1.912;-22335.8
1.914;-22318.3
1.916;-22325.8
1.918;-22315.7
1.92;-22318.2
1.922;-22332.8
1.924;-22322.7
1.926;-22303
1.928;-22285.3
1.93;-22262.3
1.932;-22238.2
1.934;-22243.7
1.936;-22254.3
1.938;-22240.6
1.94;-22220.7
1.942;-22227.2
1.944;-22174.5
1.946;-22067.5
1.948;-22111.9
1.95;-22209.5
1.952;-22202.6
1.954;-22170.3
1.956;-22158.5
1.958;-22130.3
1.96;-22137.9
1.962;-22064.6
1.964;-21881.5
1.966;-22102.1
1.968;-22514.8
1.97;-22291.7
1.972;-21845.1
1.974;-21880.1
1.976;-22054.5
1.978;-22070.5
1.98;-22043
1.982;-22037.6
1.984;-22100.1
1.986;-22194.5
1.988;-22012.1
1.99;-21703.3
1.992;-21888.5
1.994;-22226.9
1.996;-22155.3
1.998;-21886.3
2;-21865.1
2.002;-21951.8
2.004;-21846.7
2.006;-21841.5
2.008;-22061.3
2.01;-22086.5
2.012;-21799.3
2.014;-21935.4
2.016;-22470.9
2.018;-22128.7
2.02;-21335.9
2.022;-21358.2
2.024;-21724.1
2.026;-22027.7
2.028;-22299.6
2.03;-22093.7
2.032;-21680.3
2.034;-21521.5
2.036;-21542.2
2.038;-21592.6
2.04;-21862.9
2.042;-22180.5
2.044;-22294.4
2.046;-21741.5
2.048;-20950.1
2.05;-20659.4
2.052;-21767.3
2.054;-23449.2
2.056;-22584.2
2.058;-20868.5
2.06;-20899.3
2.062;-21558
2.064;-21796.7
2.066;-21763.8
2.068;-21659.8
2.07;-21614.5
2.072;-21625
2.074;-21640
2.076;-21646.9
2.078;-21654.7
2.08;-21634.2
2.082;-21575.3
2.084;-21557.3
2.086;-21566.3
2.088;-21595.2
2.09;-21634.2
2.092;-21670.1
2.094;-21594.1
2.096;-21453.6
2.098;-21432.4
2.1;-21425.8
2.102;-21536.4
2.104;-21723.9
2.106;-21639
2.108;-21446.2
2.11;-21431.5
2.112;-21495.7
2.114;-21531.3
2.116;-21531.2
2.118;-21499.1
2.12;-21471.4
2.122;-21492.4
2.124;-21534.7
2.126;-21524
2.128;-21474.7
2.13;-21436.3
2.132;-21448.9
2.134;-21375.6
2.136;-21179.5
2.138;-21478.7
2.14;-21945.3
2.142;-22157.2
2.144;-21307.8
2.146;-19965.4
2.148;-21033.6
2.15;-22910.1
2.152;-22236.4
2.154;-20743.1
2.156;-20749.3
2.158;-21301.9
2.16;-21552.2
2.162;-21299.7
2.164;-20743.6
2.166;-21133.5
2.168;-21941
2.17;-22251.2
2.172;-21107.7
2.174;-19372.6
2.176;-22226.1
2.178;-23921.5
2.18;-21482.6
2.182;-20085.7
2.184;-19423.3
2.186;-20897.2
2.188;-22452.8
2.19;-21623.6
2.192;-20725.8
2.194;-20747.2
2.196;-21186.5
2.198;-21550.3
2.2;-21445.1
2.202;-21094.4
2.204;-20823.7
2.206;-20878.6
2.208;-21019.3
2.21;-21026.8
2.212;-20957.8
2.214;-21108.1
2.216;-21352.5
2.218;-21200.1
2.22;-20906.5
2.222;-20820.8
2.224;-20965.2
2.226;-21133.2
2.228;-21246.4
2.23;-21372.9
2.232;-21164.7
2.234;-20881.6
2.236;-20976.5
2.238;-21159
2.24;-21112.9
2.242;-21011.5
2.244;-21013.2
2.246;-21021.9
2.248;-21091.3
2.25;-21192
2.252;-21121.5
2.254;-21059.6
2.256;-21009.5
2.258;-20880.8
2.26;-20735.3
2.262;-20989.1
2.264;-21476.8
2.266;-21726.6
2.268;-21148.8
2.27;-20222.2
2.272;-19819.4
2.274;-20819.7
2.276;-22463.3
2.278;-21815.9
2.28;-20293.5
2.282;-20297.3
2.284;-20875.7
2.286;-21058.9
2.288;-21107.1
2.29;-20976.7
2.292;-20709.6
2.294;-20818.9
2.296;-21111.9
2.298;-21016.9
2.3;-20765.9
2.302;-20666.7
2.304;-20852
2.306;-21161.7
2.308;-21053
2.31;-20748.1
2.312;-20704.5
2.314;-20792.5
2.316;-20835.3
2.318;-20849.1
2.32;-20882
2.322;-20900.4
2.324;-20773.2
2.326;-20646.1
2.328;-20661.5
2.33;-20717.5
2.332;-20815.9
2.334;-20820.7
2.336;-20634.5
2.338;-20837.8
2.34;-21322.5
2.342;-20930.8
2.344;-20171.3
2.346;-20323.8
2.348;-20803.8
2.35;-20848.8
2.352;-20722.8
2.354;-20604
2.356;-20783.4
2.358;-21144.4
2.36;-20862.9
2.362;-20302
2.364;-20464.3
2.366;-20908.4
2.368;-21122.3
2.37;-20674.6
2.372;-19973.6
2.374;-19706.4
2.376;-20794.8
2.378;-22423.4
2.38;-21333.5
2.382;-19353
2.384;-19847.4
2.386;-21107.4
2.388;-20933.6
2.39;-20354.5
2.392;-20297.2
