x;maxQ;maxQm1;maxQp1;;;
1.29338;-64362.7;-62004.4;-61201.5;;;
1.29559;-64280.6;-61922.3;-61161.9;;;
1.29779;-64198.8;-61840.6;-61121.8;;;
1.3;-64117.2;-61759.5;-61081.1;;;
1.30221;-64036;-61678.9;-61039.9;;;
1.30441;-63955.1;-61598.9;-60998.4;;;
1.30662;-63874.5;-61519.5;-60956.9;;;
1.30882;-63794.4;-61440.7;-60915.4;;;
1.31103;-63714.8;-61362.5;-60873.9;;;
1.31324;-63635.7;-61285;-60832.6;;;
1.31544;-63557.1;-61208.1;-60791.1;;;
1.31765;-63479.1;-61131.8;-60749;;;
1.31985;-63401.8;-61056.2;-60706.2;;;
1.32206;-63325.1;-60981.1;-60662.6;;;
1.32426;-63249.1;-60906.7;-60618.5;;;
1.32647;-63173.9;-60832.9;-60574.3;;;
1.32868;-63099.7;-60759.7;-60530.1;;;
1.33088;-63026.5;-60687;-60486;;;
1.33309;-62954;-60615;-60442.1;;;
1.33529;-62881.6;-60543.5;-60398.2;;;
1.3375;-62808.7;-60472.6;-60354.1;;;
1.33971;-62735.3;-60402.2;-60309.8;;;
1.34191;-62662.5;-60332.3;-60265.2;;;
1.34412;-62591.3;-60263;-60220.3;;;
1.34632;-62522.4;-60194.2;-60175.2;;;
1.34853;-62455.5;-60125.9;-60129.9;;;
1.35074;-62390;-60058.3;-60084.5;;;
1.35294;-62325;-59991.3;-60039.1;;;
1.35515;-62260.3;-59924.9;-59993.9;;;
1.35735;-62196.2;-59859.1;-59948.9;;;
1.35956;-62132.9;-59794;-59904.1;;;
1.36176;-62070.4;-59729.5;-59859.6;;;
1.36397;-62008.8;-59665.7;-59815.3;;;
1.36618;-61948.2;-59602.4;-59771.1;;;
1.36838;-61888.4;-59539.8;-59727.2;;;
1.37059;-61829.5;-59478;-59683.6;;;
1.37279;-61771.4;-59416.9;-59640.4;;;
1.375;-61714.2;-59356.8;-59597.8;;;
1.37721;-61657.8;-59297.2;-59555.9;;;
1.37941;-61602.3;-59237.5;-59514.6;;;
1.38162;-61547.5;-59177.3;-59473.9;;;
1.38382;-61493.6;-59117;-59433.7;;;
1.38603;-61440.5;-59057.5;-59394.1;;;
1.38824;-61388.2;-58999.8;-59355;;;
1.39044;-61336.6;-58944.2;-59316.5;;;
1.39265;-61285.9;-58890.1;-59278.6;;;
1.39485;-61235.8;-58836.9;-59241.2;;;
1.39706;-61186.6;-58784;-59204.6;;;
1.39926;-61138.3;-58731.5;-59168.5;;;
1.40147;-61090.8;-58679.5;-59133.1;;;
1.40368;-61044.2;-58628.2;-59098.2;;;
1.40588;-60998.1;-58577.7;-59063.7;;;
1.40809;-60952.7;-58527.7;-59029.6;;;
1.41029;-60907.9;-58478.5;-58995.7;;;
1.4125;-60863.6;-58430.1;-58962.2;;;
1.41471;-60820;-58382.5;-58928.8;;;
1.41691;-60777;-58335.6;-58895.7;;;
1.41912;-60734.7;-58289.2;-58862.8;;;
1.42132;-60693;-58243.3;-58830.1;;;
1.42353;-60651.6;-58198;-58797.8;;;
1.42574;-60610.4;-58153;-58765.8;;;
1.42794;-60569.3;-58108.5;-58734.3;;;
1.43015;-60528.3;-58064.2;-58703.2;;;
1.43235;-60487.5;-58020.5;-58672.5;;;
1.43456;-60447.2;-57977.2;-58642.3;;;
1.43676;-60407.2;-57934.3;-58612.4;;;
1.43897;-60367.5;-57891.9;-58583;;;
1.44118;-60328.1;-57849.8;-58554.1;;;
1.44338;-60288.7;-57808;-58525.6;;;
1.44559;-60249.5;-57766.5;-58497.5;;;
1.44779;-60210.3;-57725.2;-58469.9;;;
1.45;-60171.4;-57684.1;-58442.9;;;
1.45221;-60132.6;-57643.2;-58416.3;;;
1.45441;-60093.9;-57602.5;-58390.2;;;
1.45662;-60055.2;-57562;-58364.5;;;
1.45882;-60016.6;-57521.5;-58339.5;;;
1.46103;-59978.1;-57481.2;-58314.9;;;
1.46324;-59939.8;-57441;-58290.9;;;
1.46544;-59901.7;-57400.9;-58267.3;;;
1.46765;-59863.8;-57361.1;-58244;;;
1.46985;-59826.2;-57321.6;-58221.1;;;
1.47206;-59788.7;-57282.4;-58198.5;;;
1.47426;-59751.3;-57243.5;-58176.1;;;
1.47647;-59714;-57204.7;-58153.8;;;
1.47868;-59676.7;-57166;-58131.5;;;
1.48088;-59639.4;-57127.3;-58109.2;;;
1.48309;-59602;-57088.8;-58086.7;;;
1.48529;-59564.7;-57050.6;-58064.1;;;
1.4875;-59527.4;-57012.8;-58041.3;;;
1.48971;-59490.2;-56975.3;-58018.7;;;
1.49191;-59453.1;-56938.1;-57996.2;;;
1.49412;-59416.1;-56901.2;-57974;;;
1.49632;-59379.4;-56864.6;-57952;;;
1.49853;-59342.9;-56828.2;-57930.1;;;
1.50074;-59306.6;-56792;-57908.1;;;
1.50294;-59270.4;-56756.1;-57886.2;;;
1.50515;-59234.3;-56720.1;-57864.4;;;
1.50735;-59198.3;-56684;-57842.6;;;
1.50956;-59162.5;-56647.9;-57820.8;;;
1.51176;-59127;-56611.7;-57799.1;;;
1.51397;-59091.6;-56575.6;-57777.3;;;
1.51618;-59056.5;-56539.5;-57755.5;;;
1.51838;-59021.6;-56503.3;-57733.5;;;
1.52059;-58986.9;-56466.8;-57711.5;;;
1.52279;-58952.4;-56430.1;-57689.4;;;
1.525;-58918;-56393.2;-57667.2;;;
1.52721;-58883.7;-56356.1;-57645;;;
1.52941;-58849.6;-56318.9;-57622.6;;;
1.53162;-58815.7;-56281.6;-57600.2;;;
1.53382;-58782;-56244.2;-57577.8;;;
1.53603;-58748.6;-56206.7;-57555.3;;;
1.53823;-58715.3;-56169.1;-57532.7;;;
1.54044;-58682.2;-56131.6;-57510.2;;;
1.54265;-58649.3;-56094.2;-57487.8;;;
1.54485;-58616.6;-56056.8;-57465.5;;;
1.54706;-58584.1;-56019.6;-57443.3;;;
1.54926;-58551.4;-55982.6;-57421.2;;;
1.55147;-58518.3;-55945.7;-57398.9;;;
1.55368;-58484.5;-55909;-57376.4;;;
1.55588;-58450;-55872.6;-57353.6;;;
1.55809;-58415.4;-55836.3;-57330.6;;;
1.56029;-58381.2;-55800.3;-57307.6;;;
1.5625;-58347.9;-55764.5;-57284.7;;;
1.56471;-58315.3;-55728.8;-57262.2;;;
1.56691;-58283;-55693.4;-57240;;;
1.56912;-58250.6;-55658.2;-57218.3;;;
1.57132;-58218;-55623.2;-57196.8;;;
1.57353;-58185.1;-55588.4;-57175.5;;;
1.57573;-58152.1;-55553.8;-57154.1;;;
1.57794;-58119.1;-55519.4;-57132.7;;;
1.58015;-58086.1;-55485.2;-57111.2;;;
1.58235;-58053.3;-55451.3;-57089.5;;;
1.58456;-58020.6;-55417.6;-57067.6;;;
1.58676;-57988.1;-55384.1;-57045.6;;;
1.58897;-57955.8;-55351;-57023.5;;;
1.59118;-57923.6;-55318.1;-57001.1;;;
1.59338;-57891.5;-55285.5;-56978.6;;;
1.59559;-57859.7;-55253.1;-56956;;;
1.59779;-57828.1;-55221;-56933.3;;;
1.6;-57796.8;-55189.1;-56910.6;;;
1.60221;-57765.7;-55157.5;-56887.9;;;
1.60441;-57734.9;-55126.2;-56865.2;;;
1.60662;-57704.4;-55095.1;-56842.7;;;
1.60882;-57674.1;-55064.3;-56820.3;;;
1.61103;-57644.1;-55033.9;-56798;;;
1.61323;-57614.5;-55003.6;-56775.9;;;
1.61544;-57585.1;-54973.7;-56754;;;
1.61765;-57556;-54944.1;-56732.4;;;
1.61985;-57527.1;-54914.7;-56711;;;
1.62206;-57498.5;-54885.5;-56690.1;;;
1.62426;-57470.2;-54856.5;-56669.5;;;
1.62647;-57442.1;-54827.6;-56649.5;;;
1.62868;-57414.2;-54798.8;-56630.1;;;
1.63088;-57386.5;-54770.1;-56611.2;;;
1.63309;-57359.1;-54741.6;-56592.8;;;
1.63529;-57332;-54713.3;-56574.8;;;
1.6375;-57305.2;-54685.4;-56557.2;;;
1.63971;-57278.6;-54657.8;-56539.8;;;
1.63971;-57278.6;-54657.8;-56539.8;;;
1.64191;-57252.1;-54630.4;-56522.6;;;
1.64412;-57225.7;-54603.2;-56505.5;;;
1.64632;-57199.4;-54576;-56488.5;;;
1.64853;-57173.1;-54548.9;-56471.5;;;
1.65073;-57146.8;-54521.8;-56454.6;;;
1.65294;-57120.4;-54494.7;-56437.6;;;
1.65515;-57093.9;-54467.8;-56420.7;;;
1.65735;-57067.5;-54440.9;-56403.7;;;
1.65956;-57040.9;-54414.2;-56386.6;;;
1.66176;-57014.3;-54387.5;-56369.5;;;
1.66397;-56987.8;-54360.9;-56352.3;;;
1.66618;-56961.2;-54334.3;-56335.1;;;
1.66838;-56934.7;-54307.9;-56317.9;;;
1.67059;-56908.3;-54281.5;-56300.8;;;
1.67279;-56881.9;-54255.2;-56283.8;;;
1.675;-56855.6;-54229.1;-56267;;;
1.67721;-56829.5;-54203.1;-56250.4;;;
1.67941;-56803.4;-54177.3;-56234;;;
1.68162;-56777.5;-54151.8;-56217.9;;;
1.68382;-56751.8;-54126.3;-56201.9;;;
1.68603;-56726.2;-54100.9;-56186;;;
1.68823;-56700.9;-54075.6;-56170.3;;;
1.69044;-56675.7;-54050.3;-56154.6;;;
1.69265;-56650.7;-54024.9;-56139;;;
1.69485;-56625.9;-53999.6;-56123.5;;;
1.69706;-56601.3;-53974.4;-56108.1;;;
1.69926;-56576.9;-53949.1;-56092.8;;;
1.70147;-56552.7;-53923.9;-56077.7;;;
1.70368;-56528.6;-53898.6;-56062.8;;;
1.70588;-56504.6;-53873.3;-56048.1;;;
1.70809;-56480.6;-53847.9;-56033.7;;;
1.71029;-56456.7;-53822.7;-56019.6;;;
1.7125;-56432.7;-53797.4;-56006;;;
1.71471;-56408.7;-53772.1;-55992.7;;;
1.71691;-56384.6;-53746.8;-55979.9;;;
1.71912;-56360.4;-53721.7;-55967.3;;;
1.72132;-56336.1;-53696.7;-55954.9;;;
1.72353;-56311.8;-53671.8;-55942.6;;;
1.72573;-56287.3;-53646.9;-55930.1;;;
1.72794;-56262.7;-53622.1;-55917.4;;;
1.73015;-56237.9;-53597.4;-55904.3;;;
1.73235;-56213;-53572.8;-55890.8;;;
1.73456;-56188;-53548.2;-55877;;;
1.73676;-56162.8;-53523.6;-55862.8;;;
1.73897;-56137.5;-53498.9;-55848.1;;;
1.74118;-56112;-53474.3;-55833;;;
1.74338;-56086.5;-53449.6;-55817.6;;;
1.74559;-56060.9;-53424.8;-55801.9;;;
1.74779;-56035.1;-53400.1;-55785.9;;;
1.75;-56009.4;-53375.5;-55769.4;;;
1.75221;-55983.6;-53350.9;-55752.4;;;
1.75441;-55957.8;-53326.4;-55734.7;;;
1.75662;-55932;-53301.9;-55716.4;;;
1.75882;-55906.2;-53277.5;-55697.6;;;
1.76103;-55880.6;-53253.1;-55678.4;;;
1.76323;-55855;-53228.7;-55658.9;;;
1.76544;-55829.6;-53204.2;-55639.1;;;
1.76765;-55804.3;-53179.7;-55619.1;;;
1.76985;-55779.2;-53155.1;-55599.1;;;
1.77206;-55754.3;-53130.5;-55578.9;;;
1.77426;-55729.6;-53105.8;-55558.6;;;
1.77647;-55705.2;-53081.1;-55538.2;;;
1.77868;-55681;-53056.4;-55517.6;;;
1.78088;-55657;-53031.6;-55496.7;;;
1.78309;-55633.3;-53006.7;-55475.6;;;
1.78529;-55609.7;-52981.7;-55454.2;;;
1.7875;-55586.3;-52956.5;-55432.6;;;
1.78971;-55563;-52931.3;-55410.8;;;
1.79191;-55539.8;-52905.9;-55388.9;;;
1.79412;-55516.7;-52880.5;-55366.9;;;
1.79632;-55493.6;-52855.2;-55344.9;;;
1.79853;-55470.7;-52829.8;-55323;;;
1.80073;-55447.9;-52804.5;-55301.2;;;
1.80294;-55425.2;-52779.3;-55279.7;;;
1.80515;-55402.7;-52754.1;-55258.3;;;
1.80735;-55380.3;-52729;-55237.3;;;
1.80956;-55358.1;-52704;-55216.6;;;
1.81176;-55336.1;-52679;-55196.3;;;
1.81397;-55314.3;-52654.2;-55176.5;;;
1.81618;-55292.6;-52629.5;-55157.2;;;
1.81838;-55271.2;-52605.1;-55138.4;;;
1.82059;-55249.9;-52581;-55120.1;;;
1.82279;-55229;-52557;-55102.2;;;
1.825;-55208.5;-52533.2;-55084.5;;;
1.82721;-55188.4;-52509.4;-55067;;;
1.82941;-55168.5;-52485.8;-55049.6;;;
1.83162;-55149;-52462.3;-55032.2;;;
1.83382;-55129.6;-52439;-55014.7;;;
1.83603;-55110.3;-52415.9;-54997.2;;;
1.83823;-55091.2;-52392.9;-54979.6;;;
1.84044;-55072.1;-52370.1;-54962.1;;;
1.84265;-55053.1;-52347.3;-54944.5;;;
1.84485;-55034.1;-52324.7;-54927.1;;;
1.84706;-55015.2;-52302;-54909.9;;;
1.84926;-54996.6;-52279.4;-54892.9;;;
1.85147;-54978.4;-52256.9;-54876.3;;;
1.85368;-54960.4;-52234.4;-54860.1;;;
1.85588;-54942.8;-52212;-54844.6;;;
1.85809;-54925.2;-52189.7;-54829.7;;;
1.86029;-54907.8;-52167.5;-54815.6;;;
1.8625;-54890.6;-52145.5;-54802.3;;;
1.86471;-54873.5;-52123.7;-54789.8;;;
1.86691;-54856.7;-52102.3;-54777.8;;;
1.86912;-54840.2;-52081.3;-54766.2;;;
1.87132;-54824;-52060.8;-54755.1;;;
1.87353;-54808;-52040.8;-54744.4;;;
1.87573;-54792.3;-52021.4;-54734.1;;;
1.87794;-54776.8;-52002.4;-54724.3;;;
1.88015;-54761.5;-51983.8;-54715;;;
1.88235;-54746.4;-51965.4;-54706;;;
1.88456;-54731.3;-51947.2;-54697.4;;;
1.88676;-54716.2;-51929;-54689.1;;;
1.88897;-54700.9;-51910.6;-54680.9;;;
1.89118;-54685.4;-51892;-54672.7;;;
1.89338;-54669.7;-51873.4;-54664.6;;;
1.89559;-54653.7;-51855;-54656.4;;;
1.89779;-54637.5;-51836.4;-54648;;;
1.9;-54620.9;-51817.6;-54639.6;;;
1.90221;-54604;-51798.4;-54631;;;
1.90441;-54586.6;-51779;-54622.4;;;
1.90662;-54568.7;-51759.5;-54613.8;;;
1.90882;-54550.5;-51740.1;-54605.3;;;
1.91103;-54532.2;-51721.1;-54597;;;
1.91323;-54513.7;-51702.4;-54588.8;;;
1.91544;-54495.3;-51684.3;-54580.7;;;
1.91765;-54476.9;-51666.8;-54572.7;;;
1.91985;-54458.6;-51649.9;-54564.6;;;
1.92206;-54440.5;-51633.6;-54556.4;;;
1.92426;-54422.5;-51617.8;-54547.9;;;
1.92647;-54404.7;-51602.4;-54539;;;
1.92868;-54387;-51587.2;-54529.9;;;
1.93088;-54369.4;-51572.3;-54520.4;;;
1.93309;-54351.9;-51557.4;-54510.6;;;
1.93529;-54334.4;-51542.5;-54500.6;;;
1.9375;-54316.9;-51527.6;-54490.4;;;
1.93971;-54299.3;-51512.5;-54479.9;;;
1.94191;-54281.5;-51497.2;-54469.2;;;
1.94412;-54263.4;-51481.8;-54458.3;;;
1.94632;-54245.1;-51466.2;-54447.2;;;
1.94853;-54226.5;-51450.5;-54435.9;;;
1.95073;-54207.7;-51434.7;-54424.4;;;
1.95294;-54189;-51418.8;-54412.6;;;
1.95515;-54170.4;-51402.8;-54400.6;;;
1.95735;-54151.7;-51386.8;-54388.2;;;
1.95956;-54132.7;-51370.9;-54375.7;;;
1.96176;-54113.1;-51354.9;-54362.9;;;
1.96397;-54093.1;-51338.9;-54350;;;
1.96618;-54072.9;-51323;-54337;;;
1.96838;-54052.4;-51306.9;-54324;;;
1.97059;-54032;-51290.8;-54311.1;;;
1.97279;-54011.5;-51274.7;-54298.3;;;
1.975;-53991.1;-51258.4;-54285.6;;;
1.97721;-53970.6;-51242;-54273;;;
1.97941;-53950;-51225.5;-54260.3;;;
1.98162;-53929.2;-51208.9;-54247.7;;;
1.98382;-53908.1;-51192;-54235;;;
1.98603;-53886.8;-51175;-54222.1;;;
1.98823;-53865.1;-51157.8;-54209.1;;;
1.99044;-53843.3;-51140.5;-54196.1;;;
1.99265;-53821.2;-51123;-54182.9;;;
1.99485;-53798.9;-51105.5;-54169.8;;;
1.99706;-53776.6;-51087.7;-54156.6;;;
1.99926;-53754.3;-51069.8;-54143.3;;;
2.00147;-53732;-51051.8;-54130;;;
2.00368;-53709.8;-51033.7;-54116.6;;;
2.00588;-53687.8;-51015.4;-54103.1;;;
2.00809;-53665.9;-50997;-54089.5;;;
2.01029;-53644.3;-50978.7;-54075.7;;;
2.0125;-53622.9;-50960.5;-54061.7;;;
2.01471;-53601.8;-50942.3;-54047.6;;;
2.01691;-53581;-50924;-54033.2;;;
2.01912;-53560.5;-50905.6;-54018.5;;;
2.02132;-53540.2;-50887.2;-54003.5;;;
2.02353;-53520.3;-50868.7;-53988.4;;;
2.02573;-53500.5;-50850.1;-53973.1;;;
2.02794;-53480.9;-50831.4;-53957.7;;;
2.03015;-53461.4;-50812.5;-53942.3;;;
2.03235;-53442;-50793.5;-53927.2;;;
2.03456;-53422.4;-50774.4;-53912.3;;;
2.03676;-53402.7;-50755.2;-53897.8;;;
2.03897;-53382.8;-50735.9;-53883.7;;;
2.04118;-53362.8;-50716.6;-53870.1;;;
2.04338;-53342.4;-50697.3;-53856.9;;;
2.04559;-53321.9;-50677.9;-53844.3;;;
2.04779;-53301;-50658.5;-53832.2;;;
2.05;-53279.9;-50639.1;-53820.6;;;
2.05221;-53258.5;-50619.7;-53809.5;;;
2.05441;-53236.9;-50600.2;-53798.9;;;
2.05662;-53215.4;-50580.7;-53788.7;;;
2.05882;-53193.8;-50561.1;-53778.9;;;
2.06103;-53172.5;-50541.5;-53769.4;;;
2.06323;-53151.3;-50521.9;-53760;;;
2.06544;-53130.3;-50502.4;-53750.7;;;
2.06765;-53109.7;-50482.8;-53741.4;;;
2.06985;-53089.4;-50463.3;-53732;;;
2.07206;-53069.5;-50443.8;-53722.4;;;
2.07426;-53050.2;-50424.5;-53712.6;;;
2.07647;-53031.5;-50405.3;-53702.5;;;
2.07868;-53013.2;-50386.2;-53692.2;;;
2.08088;-52995.5;-50367.2;-53681.6;;;
2.08309;-52978.2;-50348.4;-53670.8;;;
2.08529;-52961.2;-50329.6;-53659.8;;;
2.0875;-52944.5;-50310.9;-53648.6;;;
2.08971;-52927.9;-50292.3;-53637.1;;;
2.09191;-52911.4;-50273.7;-53625.5;;;
2.09412;-52895;-50255.2;-53613.6;;;
2.09632;-52878.6;-50236.7;-53601.6;;;
2.09853;-52862.2;-50218.2;-53589.6;;;
2.10073;-52845.8;-50199.8;-53577.6;;;
2.10294;-52829.4;-50181.4;-53565.8;;;
2.10515;-52813;-50163;-53554.2;;;
2.10735;-52796.7;-50144.6;-53542.8;;;
2.10956;-52780.3;-50126.2;-53531.7;;;
2.11176;-52764;-50107.8;-53520.7;;;
2.11397;-52747.8;-50089.6;-53510;;;
2.11618;-52731.6;-50071.6;-53499.5;;;
2.11838;-52715.5;-50053.9;-53489.3;;;
2.12059;-52699.5;-50036.4;-53479.2;;;
2.12279;-52683.5;-50019.2;-53469.2;;;
2.125;-52667.7;-50002.3;-53459.3;;;
2.12721;-52651.9;-49985.6;-53449.4;;;
2.12941;-52636.3;-49969.1;-53439.5;;;
2.13162;-52620.9;-49952.8;-53429.5;;;
2.13382;-52605.7;-49936.7;-53419.3;;;
2.13603;-52590.6;-49920.8;-53408.9;;;
2.13823;-52575.8;-49905;-53398.2;;;
2.14044;-52561.2;-49889.5;-53387.3;;;
2.14265;-52546.9;-49874.1;-53376.1;;;
2.14485;-52532.6;-49858.8;-53364.7;;;
2.14706;-52518.3;-49843.6;-53353.2;;;
2.14926;-52504;-49828.5;-53341.6;;;
2.15147;-52489.8;-49813.5;-53330;;;
2.15368;-52475.6;-49798.5;-53318.4;;;
2.15588;-52461.4;-49783.8;-53306.9;;;
2.15809;-52447.2;-49769.2;-53295.4;;;
2.16029;-52433;-49754.8;-53284;;;
2.1625;-52418.9;-49740.6;-53272.6;;;
2.16471;-52404.7;-49726.6;-53261.3;;;
2.16691;-52390.4;-49712.7;-53250;;;
2.16912;-52376.2;-49699;-53238.9;;;
2.17132;-52362;-49685.5;-53227.9;;;
2.17353;-52347.7;-49672;-53217;;;
2.17573;-52333.5;-49658.7;-53206.3;;;
2.17794;-52319.2;-49645.6;-53195.6;;;
2.18015;-52304.9;-49632.8;-53185.1;;;
2.18235;-52290.6;-49620.2;-53174.5;;;
2.18456;-52276.2;-49607.8;-53163.9;;;
2.18676;-52261.9;-49595.8;-53153.2;;;
2.18897;-52247.6;-49584;-53142.4;;;
2.19118;-52233.4;-49572.5;-53131.5;;;
2.19338;-52219.2;-49561.3;-53120.5;;;
2.19559;-52205.2;-49550.1;-53109.5;;;
2.19779;-52191.2;-49539.3;-53098.4;;;
2.2;-52177.4;-49528.7;-53087.2;;;
2.20221;-52163.6;-49518.4;-53076;;;
2.20441;-52149.9;-49508.4;-53064.7;;;
2.20662;-52136.4;-49498.6;-53053.3;;;
2.20882;-52123.2;-49488.9;-53041.8;;;
