x;heatflux
1.646;-51548.7
1.648;-51525.2
1.65;-51509.5
1.652;-51497.5
1.654;-51480.6
1.656;-51463
1.658;-51443.2
1.66;-51420.8
1.662;-51397.4
1.664;-51373.8
1.666;-51350.6
1.668;-51327.5
1.67;-51303.9
1.672;-51279.5
1.674;-51254.3
1.676;-51228.4
1.678;-51201.7
1.68;-51174.5
1.682;-51147.2
1.684;-51120.7
1.686;-51095.7
1.688;-51072.6
1.69;-51051.4
1.692;-51031.7
1.694;-51012.5
1.696;-50992.7
1.698;-50971.1
1.7;-50947.7
1.702;-50923.1
1.704;-50897.9
1.706;-50873.1
1.708;-50849.4
1.71;-50827.2
1.712;-50806.9
1.714;-50788.2
1.716;-50770.8
1.718;-50754
1.72;-50737.6
1.722;-50718.6
1.724;-50696.9
1.726;-50673.9
1.728;-50648.6
1.73;-50622.6
1.732;-50597.9
1.734;-50576.2
1.736;-50556
1.738;-50540.8
1.74;-50527.2
1.742;-50509.5
1.744;-50489.2
1.746;-50466.4
1.748;-50444.4
1.75;-50423.1
1.752;-50410.2
1.754;-50403.3
1.756;-50394.3
1.758;-50385.2
1.76;-50374.2
1.762;-50358.6
1.764;-50337.8
1.766;-50314.6
1.768;-50291.9
1.77;-50260.5
1.772;-50245.9
1.774;-50244.2
1.776;-50231.3
1.778;-50223.8
1.78;-50219.6
1.782;-50214.6
1.784;-50205.1
1.786;-50192.4
1.788;-50165.3
1.79;-50130.4
1.792;-50103.3
1.794;-50082.5
1.796;-50069.5
1.798;-50062.3
1.8;-50058.9
1.802;-50054.9
1.804;-50048.2
1.806;-50038.3
1.808;-50025.3
1.81;-50007.7
1.812;-49993.5
1.814;-49983.5
1.816;-49971.5
1.818;-49958.2
1.82;-49942.2
1.822;-49921.1
1.824;-49904.8
1.826;-49896.3
1.828;-49886.6
1.83;-49875.9
1.832;-49860
1.834;-49839.9
1.836;-49818.4
1.838;-49803
1.84;-49794.7
1.842;-49788.3
1.844;-49783.2
1.846;-49775.3
1.848;-49761.3
1.85;-49739.1
1.852;-49712.4
1.854;-49686.9
1.856;-49662.9
1.858;-49652.4
1.86;-49650.1
1.862;-49639.4
1.864;-49624.3
1.866;-49603.4
1.868;-49583.4
1.87;-49570.7
1.872;-49565.1
1.874;-49550.2
1.876;-49525.7
1.878;-49504.4
1.88;-49483
1.882;-49463.9
1.884;-49450.2
1.886;-49440.4
1.888;-49429.3
1.89;-49416.4
1.892;-49397.8
1.894;-49376
1.896;-49356.8
1.898;-49338.9
1.9;-49321.9
1.902;-49310.3
1.904;-49302.4
1.906;-49292.1
1.908;-49282.9
1.91;-49269.1
1.912;-49248.9
1.914;-49225.4
1.916;-49198.3
1.918;-49171.3
1.92;-49147.1
1.922;-49127.3
1.924;-49111.2
1.926;-49096.9
1.928;-49084.1
1.93;-49071.7
1.932;-49057.2
1.934;-49041.1
1.936;-49024.5
1.938;-49007.3
1.94;-48990.8
1.942;-48970.3
1.944;-48949.2
1.946;-48933.9
1.948;-48920.8
1.95;-48908.5
1.952;-48895.2
1.954;-48879.2
1.956;-48860.3
1.958;-48839.3
1.96;-48817.9
1.962;-48797.9
1.964;-48778.7
1.966;-48762.5
1.968;-48748.6
1.97;-48733.9
1.972;-48721.4
1.974;-48712.3
1.976;-48704.4
1.978;-48698
1.98;-48685.3
1.982;-48664.1
1.984;-48638.5
1.986;-48609.5
1.988;-48585.4
1.99;-48558
1.992;-48548.2
